ID_VENTA;FECHA;NUM_DOCUMENTO_VENDEDOR;ID_PRODUCTO;CANTIDAD;VALOR_TOTAL
V00001;2025-02-25;0355414807;PROD002;9;8659,37
V00002;2025-02-25;0167515010;PROD003;2;373,72
V00003;2025-03-13;0136420553;PROD009;5;4962,64
V00004;2025-03-12;0409346839;PROD009;5;2473,15
V00005;2025-03-17;0451897121;PROD015;2;1648,06
V00006;2025-03-18;0642377843;PROD014;1;977,58
V00007;2025-02-26;0086212293;PROD009;3;2287,96
V00008;2025-03-17;0600504375;PROD005;2;298,15
V00009;2025-03-04;0913963280;PROD003;5;2622,41
V00010;2025-03-09;0988534558;PROD002;8;3614,48
V00011;2025-02-28;0741305740;PROD006;7;3400,98
V00012;2025-02-22;0090936721;PROD008;10;7969,15
V00013;2025-03-16;0338833170;PROD001;2;59,35
V00014;2025-03-08;0530990545;PROD002;5;1472,64
V00015;2025-03-13;0273669766;PROD009;9;7806,53
V00016;2025-03-10;0835777734;PROD007;8;6193,76
V00017;2025-03-16;0223662907;PROD012;1;862,07
V00018;2025-03-16;0163815280;PROD005;1;679,30
V00019;2025-03-15;0362159847;PROD003;5;2103,85
V00020;2025-02-23;0950303473;PROD013;3;336,57
